"","Ecoregion","MetierL4","Species","animals","das","rate"
"1","Adriatic Sea","OTB","Pagophilus groenlandicus",2,709,0.00282087447108604
"2","Adriatic Sea","PTM","Tursiops truncatus",6,1237,0.00485044462409054
"3","Azores","LHM","Delphinus delphis",2,3238,0.000617665225447807
"4","Azores","LLD","Globicephala melas",1,312,0.00320512820512821
"5","Baltic Sea","FPO","Halichoerus grypus",4,1887,0.00211976682564918
"6","Baltic Sea","FPO","Pusa hispida",2,1887,0.00105988341282459
"7","Baltic Sea","FYK","Halichoerus grypus",23,34782,0.000661261572077511
"8","Baltic Sea","GNS","Phoca vitulina",15,95054.2285714286,0.000157804657672102
"9","Baltic Sea","GNS","Phocoena phocoena",25,95054.2285714286,0.000263007762786836
"10","Bay of Biscay and the Iberian Coast","GNS","Delphinus delphis",13,1643.22046556385,0.00791129387226761
"11","Bay of Biscay and the Iberian Coast","GNS","Tursiops truncatus",2,1643.22046556385,0.00121712213419502
"12","Bay of Biscay and the Iberian Coast","GTR","Delphinus delphis",17,649.074859943978,0.026191123781111
"13","Bay of Biscay and the Iberian Coast","GTR","Halichoerus grypus",2,649.074859943978,0.0030813086801307
"14","Bay of Biscay and the Iberian Coast","GTR","Phocoena phocoena",6,649.074859943978,0.00924392604039211
"15","Bay of Biscay and the Iberian Coast","LLS","Delphinus delphis",1,944.027380952381,0.00105929130889313
"16","Bay of Biscay and the Iberian Coast","OTB","Delphinus delphis",1,1017.49119003343,0.000982809492401746
"17","Bay of Biscay and the Iberian Coast","OTB","Phocoena phocoena",1,1017.49119003343,0.000982809492401746
"18","Bay of Biscay and the Iberian Coast","PS","Delphinus delphis",6,549.5,0.010919017288444
"19","Bay of Biscay and the Iberian Coast","PTB","Delphinus delphis",33,176.133333333333,0.187358062074186
"20","Bay of Biscay and the Iberian Coast","PTM","Delphinus delphis",90,646.172463768116,0.139281701165615
"21","Bay of Biscay and the Iberian Coast","PTM","Globicephala melas",5,646.172463768116,0.00773787228697862
"22","Bay of Biscay and the Iberian Coast","PTM","Phocoena phocoena",1,646.172463768116,0.00154757445739572
"23","Celtic Seas","GNS","Delphinus delphis",6,998.717414831545,0.00600770539383458
