"","Ecoregion","Metier4","Species","das","animals","rate","CI5","CI95","class"
"1","Baltic Sea","GNS","Acipenser oxyrinchus",94.05238095,1,0.010632373,0,0.031897119,"f"
"2","Baltic Sea","GNS","Alca torda",1116.280952,6,0.005374991,0.001791664,0.008958318,"b"
"3","Bay of Biscay and the Iberian Coast","GNS","Alca torda",2874.68021,5,0.001739324,0.00069573,0.003130783,"b"
"4","Bay of Biscay and the Iberian Coast","GTR","Alca torda",1730.006607,2,0.001156065,0,0.002890162,"b"
"5","Greater North Sea","GNS","Alca torda",8169.995292,38,0.004651165,0.003427175,0.005875156,"b"
"6","Icelandic Waters","GNS","Alca torda",711,3,0.004219409,0.00140647,0.008438819,"b"
"7","Greater North Sea","GNS","Alcidae",8169.995292,6,0.000734395,0.000244798,0.001223991,"b"
"8","Bay of Biscay and the Iberian Coast","OTB","Alosa alosa",245,200,0.816326531,0.72244898,0.914285714,"f"
"9","Aegean-Levantine Sea","GTR","Alosa fallax",254,1,0.003937008,0,0.011811024,"f"
"10","Aegean-Levantine Sea","OTB","Alosa fallax",200,47,0.235,0.18,0.295,"f"
"11","Bay of Biscay and the Iberian Coast","GNS","Alosa fallax",264,7,0.026515152,0.011363636,0.045454545,"f"
"12","Bay of Biscay and the Iberian Coast","OTB","Alosa fallax",245,956,3.902040816,3.693877551,4.110204082,"f"
"13","Bay of Biscay and the Iberian Coast","PS","Alosa fallax",62,20,0.322580645,0.209677419,0.451612903,"f"
"14","Bay of Biscay and the Iberian Coast","PTB","Alosa fallax",322,1,0.00310559,0,0.00931677,"f"
"15","Celtic Seas","OTM","Alosa fallax",59,1,0.016949153,0,0.050847458,"f"
"16","Greater North Sea","OTB","Alosa fallax",164,7,0.042682927,0.018292683,0.073170732,"f"
"17","Greater North Sea","OTM","Alosa fallax",58,1,0.017241379,0,0.051724138,"f"
"18","Greater North Sea","OTT","Alosa fallax",96,1,0.010416667,0,0.03125,"f"
"19","Greater North Sea","TBB","Alosa fallax",117.71,4,0.03398182,0.008495455,0.067963639,"f"
"20","Ionian Sea and the Central","GNS","Alosa fallax",60,1,0.016666667,0,0.05,"f"
